,hysc,hmsc,hosc,hypc,hmpc,hopc,hys,hms,hos,hyp,hmp,hop,aysc,amsc,aosc,aypc,ampc,aopc,ays,ams,aos,ayp,amp,aop
ev1,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325
ev2,2.4144,2.679466667,6.718819672,4.48897886,4.903168114,8.25738733,7.26,7.68,10.8,7.6276,8.1,10.9,2.4144,2.679466667,6.718819672,4.48897886,4.903168114,8.25738733,7.26,7.68,10.8,7.6276,8.1,10.9
ev3,3.6216,4.0192,10.07822951,6.733468291,7.354752171,12.386081,10.89,11.52,16.2,11.4414,12.15,16.35,3.6216,4.0192,10.07822951,6.733468291,7.354752171,12.386081,10.89,11.52,16.2,11.4414,12.15,16.35
ev4,2.0513,1.6279,3.0368,1.95,1.58119,2.70153,1.405,1.115,2.08,1.5,1.2163,2.0781,2.0513,1.6279,3.0368,1.95,1.58119,2.70153,1.405,1.115,2.08,1.5,1.2163,2.0781
ev5,16.4104,13.0232,24.2944,15.6,12.64952,21.61224,11.24,8.92,16.64,12,9.7304,16.6248,16.4104,13.0232,24.2944,15.6,12.64952,21.61224,11.24,8.92,16.64,12,9.7304,16.6248
ev6,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45
ev7,9.0812,10.5996,1.022,7.23697,8.44701,0.81445,6.22,7.26,0.7,5.5669,6.4977,0.6265,9.0812,10.5996,1.022,7.23697,8.44701,0.81445,6.22,7.26,0.7,5.5669,6.4977,0.6265
ev8,18.1624,21.1992,2.044,14.47394,16.89402,1.6289,12.44,14.52,1.4,11.1338,12.9954,1.253,18.1624,21.1992,2.044,14.47394,16.89402,1.6289,12.44,14.52,1.4,11.1338,12.9954,1.253
ev9,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325
ev10,1.496528926,1.046666667,0.559901639,2.370255698,1.62530943,0.610213348,4.5,3,0.9,4.0275,2.685,0.8055,1.496528926,1.046666667,0.559901639,2.370255698,1.62530943,0.610213348,4.5,3,0.9,4.0275,2.685,0.8055
ev11,12.3078,9.7674,18.2208,11.7,9.48714,16.20918,8.43,6.69,12.48,9,7.2978,12.4686,12.3078,9.7674,18.2208,11.7,9.48714,16.20918,8.43,6.69,12.48,9,7.2978,12.4686
ev12,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45
ev13,2.0513,1.6279,3.0368,1.95,1.58119,2.70153,1.405,1.115,2.08,1.5,1.2163,2.0781,2.0513,1.6279,3.0368,1.95,1.58119,2.70153,1.405,1.115,2.08,1.5,1.2163,2.0781
ev14,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325
ev15,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45
ev16,8.2052,6.5116,12.1472,7.8,6.32476,10.80612,5.62,4.46,8.32,6,4.8652,8.3124,8.2052,6.5116,12.1472,7.8,6.32476,10.80612,5.62,4.46,8.32,6,4.8652,8.3124
ev17,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45
ev18,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325
ev19,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45,1.2072,1.339733333,3.359409836,2.24448943,2.451584057,4.128693665,3.63,3.84,5.4,3.8138,4.05,5.45
ev20,16.4104,13.0232,24.2944,15.6,12.64952,21.61224,11.24,8.92,16.64,12,9.7304,16.6248,16.4104,13.0232,24.2944,15.6,12.64952,21.61224,11.24,8.92,16.64,12,9.7304,16.6248
ev21,0.748264463,0.523333333,0.27995082,1.185127849,0.812654715,0.305106674,2.25,1.5,0.45,2.01375,1.3425,0.40275,0.748264463,0.523333333,0.27995082,1.185127849,0.812654715,0.305106674,2.25,1.5,0.45,2.01375,1.3425,0.40275
ev22,18.1624,21.1992,2.044,14.47394,16.89402,1.6289,12.44,14.52,1.4,11.1338,12.9954,1.253,18.1624,21.1992,2.044,14.47394,16.89402,1.6289,12.44,14.52,1.4,11.1338,12.9954,1.253
ev23,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325
ev24,8.2052,6.5116,12.1472,7.8,6.32476,10.80612,5.62,4.46,8.32,6,4.8652,8.3124,8.2052,6.5116,12.1472,7.8,6.32476,10.80612,5.62,4.46,8.32,6,4.8652,8.3124
ev25,12.072,13.39733333,33.59409836,22.4448943,24.51584057,41.28693665,36.3,38.4,54,38.138,40.5,54.5,12.072,13.39733333,33.59409836,22.4448943,24.51584057,41.28693665,36.3,38.4,54,38.138,40.5,54.5
ev26,9.0812,10.5996,1.022,7.23697,8.44701,0.81445,6.22,7.26,0.7,5.5669,6.4977,0.6265,9.0812,10.5996,1.022,7.23697,8.44701,0.81445,6.22,7.26,0.7,5.5669,6.4977,0.6265
ev27,9.0812,10.5996,1.022,7.23697,8.44701,0.81445,6.22,7.26,0.7,5.5669,6.4977,0.6265,9.0812,10.5996,1.022,7.23697,8.44701,0.81445,6.22,7.26,0.7,5.5669,6.4977,0.6265
ev28,0.748264463,0.523333333,0.27995082,1.185127849,0.812654715,0.305106674,2.25,1.5,0.45,2.01375,1.3425,0.40275,0.748264463,0.523333333,0.27995082,1.185127849,0.812654715,0.305106674,2.25,1.5,0.45,2.01375,1.3425,0.40275
ev29,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325,4.5406,5.2998,0.511,3.618485,4.223505,0.407225,3.11,3.63,0.35,2.78345,3.24885,0.31325
ev30,16.4104,13.0232,24.2944,15.6,12.64952,21.61224,11.24,8.92,16.64,12,9.7304,16.6248,16.4104,13.0232,24.2944,15.6,12.64952,21.61224,11.24,8.92,16.64,12,9.7304,16.6248
